Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;ETANOL;03/01/2017;4,03;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;03/01/2017;3,94;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;GASOLINA;03/01/2017;4,7;3,7839;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;DIESEL;03/01/2017;4,12;3,3996;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;GASOLINA;03/01/2017;4,43;3,8028;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;DIESEL;03/01/2017;3,93;3,3376;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;DIESEL S10;03/01/2017;3,98;3,4567;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;GASOLINA;03/01/2017;4,35;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;DIESEL;03/01/2017;3,94;;R$ / litro;BRANCA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;LOTEAMENTO PORTAL DA AMAZONIA;S/N;QUADRA 101 LTS 01,02,03,04, 05 E 33;CALAFATE;69905-801;GASOLINA;04/01/2017;4,17;3,6871;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
