Regiao – Sigla;Estado – Sigla;Produto;Data da Coleta;Valor de Venda;Bandeira
NE;CE;DIESEL S10;05/07/2017;3,15;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,79;SETTA DISTRIBUIDORA
NE;CE;ETANOL;05/07/2017;3,17;SETTA DISTRIBUIDORA
NE;CE;DIESEL;05/07/2017;3,07;SETTA DISTRIBUIDORA
NE;CE;DIESEL S10;05/07/2017;3,19;SETTA DISTRIBUIDORA
NE;CE;GASOLINA;05/07/2017;3,799;SETTA DISTRIBUIDORA
NE;CE;ETANOL;05/07/2017;3,17;SETTA DISTRIBUIDORA
NE;CE;DIESEL S10;05/07/2017;3,19;SETTA DISTRIBUIDORA
NE;CE;GASOLINA;05/07/2017;3,799;ALESAT
NE;CE;DIESEL;05/07/2017;2,99;ALESAT
NE;CE;ETANOL;03/07/2017;3,4;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;03/07/2017;3,08;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;03/07/2017;3,16;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;03/07/2017;3,4;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;03/07/2017;3,08;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;03/07/2017;3,16;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;03/07/2017;3,4;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;03/07/2017;3,08;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;03/07/2017;3,16;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;03/07/2017;3,9;SP
NE;CE;DIESEL S10;03/07/2017;3,169;SP
NE;CE;GASOLINA;03/07/2017;3,87;SP
NE;CE;ETANOL;03/07/2017;3,4;SP
NE;CE;DIESEL;03/07/2017;3,07;SP
NE;CE;DIESEL S10;03/07/2017;3,18;SP
NE;CE;GASOLINA;03/07/2017;3,929;SP
NE;CE;ETANOL;03/07/2017;3,42;SP
NE;CE;DIESEL;03/07/2017;3,09;SP
NE;CE;DIESEL S10;03/07/2017;3,199;SP
NE;CE;GASOLINA;04/07/2017;3,69;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;04/07/2017;2,97;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,16;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;04/07/2017;3,69;BRANCA
NE;CE;ETANOL;04/07/2017;3,099;BRANCA
NE;CE;DIESEL S10;04/07/2017;3,09;BRANCA
NE;CE;GASOLINA;04/07/2017;3,69;ALESAT
NE;CE;ETANOL;04/07/2017;3,099;ALESAT
NE;CE;DIESEL;04/07/2017;2,99;ALESAT
NE;CE;DIESEL S10;04/07/2017;3,099;ALESAT
NE;CE;GASOLINA;04/07/2017;3,65;BRANCA
NE;CE;ETANOL;04/07/2017;3,15;BRANCA
NE;CE;DIESEL;04/07/2017;2,98;BRANCA
NE;CE;DIESEL S10;04/07/2017;3,09;BRANCA
NE;CE;GASOLINA;04/07/2017;3,59;BRANCA
NE;CE;ETANOL;04/07/2017;3,15;BRANCA
NE;CE;DIESEL;04/07/2017;2,99;BRANCA
NE;CE;DIESEL S10;04/07/2017;3,09;BRANCA
NE;CE;GASOLINA;04/07/2017;3,69;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,97;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;05/07/2017;3,45;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;05/07/2017;3,15;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,839;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;05/07/2017;3,18;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;05/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,95;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;05/07/2017;3,2;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;05/07/2017;3,199;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,95;BRANCA
NE;CE;ETANOL;05/07/2017;3,25;BRANCA
NE;CE;DIESEL S10;05/07/2017;3,199;BRANCA
NE;CE;GASOLINA;04/07/2017;3,79;RAIZEN
NE;CE;ETANOL;04/07/2017;3,19;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,17;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,87;IPIRANGA
NE;CE;ETANOL;04/07/2017;3,17;IPIRANGA
NE;CE;DIESEL S10;04/07/2017;3,099;IPIRANGA
NE;CE;GASOLINA;04/07/2017;3,85;BRANCA
NE;CE;ETANOL;04/07/2017;3,25;BRANCA
NE;CE;DIESEL S10;04/07/2017;3,099;BRANCA
NE;CE;GASOLINA;04/07/2017;3,79;IPIRANGA
NE;CE;ETANOL;04/07/2017;3,19;IPIRANGA
NE;CE;DIESEL S10;04/07/2017;3,099;IPIRANGA
NE;CE;GASOLINA;04/07/2017;3,799;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;04/07/2017;3,85;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GNV;04/07/2017;2,77;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,699;BRANCA
NE;CE;ETANOL;05/07/2017;3,16;BRANCA
NE;CE;DIESEL;05/07/2017;2,99;BRANCA
NE;CE;GASOLINA;05/07/2017;3,89;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;05/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;05/07/2017;3,15;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;05/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,899;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;05/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;05/07/2017;3,08;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,72;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;05/07/2017;3,05;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;05/07/2017;3,789;IPIRANGA
NE;CE;ETANOL;05/07/2017;3,299;IPIRANGA
NE;CE;DIESEL;05/07/2017;3,159;IPIRANGA
NE;CE;DIESEL S10;05/07/2017;3,199;IPIRANGA
NE;CE;GASOLINA;05/07/2017;3,87;RAIZEN
NE;CE;ETANOL;05/07/2017;3,199;RAIZEN
NE;CE;DIESEL S10;05/07/2017;3,19;RAIZEN
NE;CE;GASOLINA;05/07/2017;3,79;RAIZEN
NE;CE;ETANOL;05/07/2017;3,19;RAIZEN
NE;CE;DIESEL;05/07/2017;3,09;RAIZEN
NE;CE;DIESEL S10;05/07/2017;3,19;RAIZEN
NE;CE;GASOLINA;05/07/2017;3,79;SP
NE;CE;DIESEL S10;05/07/2017;3,09;SP
NE;CE;GASOLINA;05/07/2017;3,79;BRANCA
NE;CE;DIESEL S10;05/07/2017;3,17;BRANCA
NE;CE;GASOLINA;04/07/2017;3,86;RAIZEN
NE;CE;ETANOL;04/07/2017;3,24;RAIZEN
NE;CE;DIESEL;04/07/2017;3,09;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,199;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,89;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,299;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,199;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;04/07/2017;3,799;RAIZEN
NE;CE;ETANOL;04/07/2017;3,19;RAIZEN
NE;CE;DIESEL;04/07/2017;3,07;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,799;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,14;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;04/07/2017;3,79;IPIRANGA
NE;CE;ETANOL;04/07/2017;3,29;IPIRANGA
NE;CE;DIESEL;04/07/2017;3,099;IPIRANGA
NE;CE;GASOLINA;04/07/2017;3,799;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;ETANOL;04/07/2017;3,17;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;04/07/2017;3,07;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;GASOLINA;04/07/2017;3,79;RAIZEN
NE;CE;ETANOL;04/07/2017;3,199;RAIZEN
NE;CE;DIESEL;04/07/2017;3,07;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,149;RAIZEN
NE;CE;ETANOL;04/07/2017;3,25;RAIZEN
NE;CE;DIESEL;04/07/2017;3,05;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,15;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,79;RAIZEN
NE;CE;ETANOL;04/07/2017;3,15;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,099;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,819;BRANCA
NE;CE;ETANOL;04/07/2017;3,19;BRANCA
NE;CE;DIESEL S10;04/07/2017;3,29;BRANCA
NE;CE;GASOLINA;04/07/2017;3,789;RAIZEN
NE;CE;ETANOL;04/07/2017;3,199;RAIZEN
NE;CE;DIESEL;04/07/2017;3,099;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,149;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,79;RAIZEN
NE;CE;ETANOL;04/07/2017;3,19;RAIZEN
NE;CE;DIESEL;04/07/2017;3,07;RAIZEN
NE;CE;DIESEL S10;04/07/2017;3,149;RAIZEN
NE;CE;GASOLINA;04/07/2017;3,79;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;DIESEL S10;04/07/2017;3,14;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,699;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,149;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,389;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,449;RAIZEN
CO;DF;ETANOL;04/07/2017;3,099;RAIZEN
CO;DF;DIESEL S10;04/07/2017;3,299;RAIZEN
CO;DF;GASOLINA;04/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;3,219;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL;04/07/2017;3,479;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,479;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;3,199;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL;04/07/2017;3,239;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,339;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,599;RAIZEN
CO;DF;ETANOL;04/07/2017;3,299;RAIZEN
CO;DF;DIESEL S10;04/07/2017;3,559;RAIZEN
CO;DF;GASOLINA;04/07/2017;3,43;IPIRANGA
CO;DF;ETANOL;04/07/2017;3,08;IPIRANGA
CO;DF;DIESEL;04/07/2017;3,28;IPIRANGA
CO;DF;GASOLINA;04/07/2017;3,59;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;2,88;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL;04/07/2017;2,868;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,28;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,089;BRANCA
CO;DF;ETANOL;04/07/2017;3,249;BRANCA
CO;DF;DIESEL;04/07/2017;3,479;BRANCA
CO;DF;GASOLINA;04/07/2017;3,59;RAIZEN
CO;DF;ETANOL;04/07/2017;3,24;RAIZEN
CO;DF;DIESEL S10;04/07/2017;3,43;RAIZEN
CO;DF;GASOLINA;04/07/2017;3,49;RAIZEN
CO;DF;ETANOL;04/07/2017;2,99;RAIZEN
CO;DF;DIESEL S10;04/07/2017;3,47;RAIZEN
CO;DF;GASOLINA;04/07/2017;3,699;RAIZEN
CO;DF;ETANOL;04/07/2017;3,369;RAIZEN
CO;DF;DIESEL;04/07/2017;3,239;RAIZEN
CO;DF;DIESEL S10;04/07/2017;3,349;RAIZEN
CO;DF;GASOLINA;04/07/2017;3,349;IPIRANGA
CO;DF;ETANOL;04/07/2017;3,199;IPIRANGA
CO;DF;DIESEL;04/07/2017;3,459;IPIRANGA
CO;DF;GASOLINA;04/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,499;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;3,129;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,339;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,599;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;3,149;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,409;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,079;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;ETANOL;04/07/2017;3,039;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;DIESEL S10;04/07/2017;3,099;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;GASOLINA;04/07/2017;3,079;IPIRANGA
CO;DF;ETANOL;04/07/2017;3,039;IPIRANGA
CO;DF;DIESEL S10;04/07/2017;3,099;IPIRANGA
SE;ES;DIESEL;03/07/2017;3,19;ALESAT
SE;ES;GASOLINA;03/07/2017;3,98;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;03/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;03/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;03/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;03/07/2017;3,98;IPIRANGA
SE;ES;DIESEL;03/07/2017;3,24;IPIRANGA
SE;ES;DIESEL S10;03/07/2017;3,34;IPIRANGA
SE;ES;GASOLINA;03/07/2017;3,98;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;03/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;03/07/2017;3,03;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;03/07/2017;3,13;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;03/07/2017;3,98;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;03/07/2017;3,59;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;03/07/2017;3,16;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;03/07/2017;3,29;BRANCA
SE;ES;ETANOL;03/07/2017;2,89;BRANCA
SE;ES;DIESEL;03/07/2017;2,69;BRANCA
SE;ES;DIESEL S10;03/07/2017;2,79;BRANCA
SE;ES;GASOLINA;03/07/2017;3,69;IPIRANGA
SE;ES;GASOLINA;03/07/2017;3,6;BRANCA
SE;ES;DIESEL;03/07/2017;3;BRANCA
SE;ES;GASOLINA;03/07/2017;3,89;BRANCA
SE;ES;ETANOL;03/07/2017;3,69;BRANCA
SE;ES;DIESEL S10;03/07/2017;3,29;BRANCA
SE;ES;DIESEL;03/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;03/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;03/07/2017;3,69;IPIRANGA
SE;ES;DIESEL;03/07/2017;2,99;IPIRANGA
SE;ES;DIESEL S10;03/07/2017;3,19;IPIRANGA
SE;ES;GASOLINA;04/07/2017;3,22;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;04/07/2017;2,95;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;04/07/2017;3,69;RAIZEN
SE;ES;DIESEL;04/07/2017;3,19;RAIZEN
SE;ES;DIESEL S10;04/07/2017;3,29;RAIZEN
SE;ES;GASOLINA;04/07/2017;3,69;BRANCA
SE;ES;DIESEL S10;04/07/2017;3,29;BRANCA
SE;ES;GASOLINA;04/07/2017;3,699;RAIZEN
SE;ES;DIESEL;04/07/2017;3,29;RAIZEN
SE;ES;DIESEL S10;04/07/2017;3,39;RAIZEN
SE;ES;GASOLINA;04/07/2017;3,59;BRANCA
SE;ES;ETANOL;04/07/2017;3,09;BRANCA
SE;ES;DIESEL S10;04/07/2017;3,09;BRANCA
SE;ES;GASOLINA;04/07/2017;3,69;IPIRANGA
SE;ES;DIESEL;04/07/2017;2,99;IPIRANGA
SE;ES;DIESEL S10;04/07/2017;3,09;IPIRANGA
SE;ES;GASOLINA;04/07/2017;3,69;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;04/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;04/07/2017;3,69;IPIRANGA
SE;ES;ETANOL;04/07/2017;3,36;IPIRANGA
SE;ES;DIESEL;04/07/2017;2,96;IPIRANGA
SE;ES;DIESEL S10;04/07/2017;3,06;IPIRANGA
SE;ES;GASOLINA;04/07/2017;3,59;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;04/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,655;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;06/07/2017;3,395;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;06/07/2017;3,195;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,69;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;06/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,69;RAIZEN
SE;ES;ETANOL;06/07/2017;3,39;RAIZEN
SE;ES;DIESEL;06/07/2017;3,09;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,69;RAIZEN
SE;ES;ETANOL;06/07/2017;3,35;RAIZEN
SE;ES;DIESEL;06/07/2017;3,09;RAIZEN
SE;ES;DIESEL S10;06/07/2017;3,19;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,69;ALESAT
SE;ES;ETANOL;06/07/2017;3,399;ALESAT
SE;ES;DIESEL;06/07/2017;3,099;ALESAT
SE;ES;GASOLINA;06/07/2017;3,75;IPIRANGA
SE;ES;ETANOL;06/07/2017;3,39;IPIRANGA
SE;ES;DIESEL;06/07/2017;3,09;IPIRANGA
SE;ES;DIESEL S10;06/07/2017;3,19;IPIRANGA
SE;ES;GASOLINA;05/07/2017;3,79;ATLÂNTICA
SE;ES;DIESEL;05/07/2017;2,95;ATLÂNTICA
SE;ES;DIESEL S10;05/07/2017;3;ATLÂNTICA
SE;ES;GASOLINA;05/07/2017;3,39;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;05/07/2017;2,79;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;05/07/2017;2,89;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;05/07/2017;3,79;BRANCA
SE;ES;DIESEL;05/07/2017;3,15;BRANCA
SE;ES;GASOLINA;05/07/2017;3,69;RAIZEN
SE;ES;DIESEL S10;05/07/2017;2,99;RAIZEN
SE;ES;GASOLINA;05/07/2017;3,39;RAIZEN
SE;ES;ETANOL;05/07/2017;2,99;RAIZEN
SE;ES;GASOLINA;05/07/2017;3,39;IPIRANGA
SE;ES;DIESEL;05/07/2017;2,89;IPIRANGA
SE;ES;DIESEL S10;05/07/2017;2,99;IPIRANGA
SE;ES;GASOLINA;05/07/2017;3,49;RAIZEN
SE;ES;DIESEL;05/07/2017;2,89;RAIZEN
SE;ES;DIESEL S10;05/07/2017;2,99;RAIZEN
SE;ES;GASOLINA;05/07/2017;3,59;IPIRANGA
SE;ES;ETANOL;05/07/2017;3,29;IPIRANGA
SE;ES;DIESEL;05/07/2017;2,72;IPIRANGA
SE;ES;DIESEL S10;05/07/2017;2,83;IPIRANGA
SE;ES;GASOLINA;05/07/2017;3,39;RAIZEN
SE;ES;DIESEL S10;05/07/2017;2,89;RAIZEN
SE;ES;GASOLINA;05/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;05/07/2017;3,39;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;05/07/2017;2,79;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;05/07/2017;2,89;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;05/07/2017;3,87;ALESAT
SE;ES;DIESEL;05/07/2017;3,17;ALESAT
SE;ES;DIESEL S10;05/07/2017;3,28;ALESAT
SE;ES;GASOLINA;05/07/2017;3,79;BRANCA
SE;ES;DIESEL;05/07/2017;3,09;BRANCA
SE;ES;DIESEL S10;05/07/2017;3,26;BRANCA
SE;ES;GASOLINA;05/07/2017;3,69;BRANCA
SE;ES;DIESEL;05/07/2017;2,999;BRANCA
SE;ES;DIESEL S10;05/07/2017;3,099;BRANCA
SE;ES;GASOLINA;05/07/2017;3,69;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;05/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;05/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;05/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;05/07/2017;3,69;ATLÂNTICA
SE;ES;DIESEL;05/07/2017;2,94;ATLÂNTICA
SE;ES;GASOLINA;05/07/2017;3,69;ALESAT
SE;ES;DIESEL;05/07/2017;3,09;ALESAT
SE;ES;GASOLINA;06/07/2017;3,45;RAIZEN
SE;ES;ETANOL;06/07/2017;3,19;RAIZEN
SE;ES;DIESEL;06/07/2017;2,98;RAIZEN
SE;ES;DIESEL S10;06/07/2017;3,09;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,45;ALESAT
SE;ES;ETANOL;06/07/2017;3,19;ALESAT
SE;ES;DIESEL;06/07/2017;2,98;ALESAT
SE;ES;GASOLINA;06/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;06/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;06/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,499;RAIZEN
SE;ES;ETANOL;06/07/2017;3,199;RAIZEN
SE;ES;DIESEL;06/07/2017;2,999;RAIZEN
SE;ES;DIESEL S10;06/07/2017;3,099;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;06/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;06/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;06/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,42;BRANCA
SE;ES;ETANOL;06/07/2017;3,19;BRANCA
SE;ES;DIESEL;06/07/2017;2,98;BRANCA
SE;ES;GASOLINA;06/07/2017;3,45;RAIZEN
SE;ES;ETANOL;06/07/2017;3,19;RAIZEN
SE;ES;DIESEL;06/07/2017;2,99;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,49;IPIRANGA
SE;ES;ETANOL;06/07/2017;3,29;IPIRANGA
SE;ES;DIESEL;06/07/2017;2,99;IPIRANGA
SE;ES;DIESEL S10;06/07/2017;3,09;IPIRANGA
SE;ES;GASOLINA;06/07/2017;3,45;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;06/07/2017;3,19;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL;06/07/2017;2,99;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,45;RAIZEN
SE;ES;ETANOL;06/07/2017;3,19;RAIZEN
SE;ES;DIESEL S10;06/07/2017;3,09;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,499;RAIZEN
SE;ES;ETANOL;06/07/2017;3,199;RAIZEN
SE;ES;DIESEL S10;06/07/2017;3,099;RAIZEN
SE;ES;GASOLINA;06/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;ETANOL;06/07/2017;3,29;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;06/07/2017;3,09;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,49;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;DIESEL S10;06/07/2017;3,199;PETROBRAS DISTRIBUIDORA S.A.
SE;ES;GASOLINA;06/07/2017;3,49;BRANCA
SE;ES;ETANOL;06/07/2017;3,29;BRANCA
SE;ES;DIESEL S10;06/07/2017;3,19;BRANCA
SE;ES;GASOLINA;06/07/2017;3,499;IPIRANGA
SE;ES;ETANOL;06/07/2017;3,299;IPIRANGA
SE;ES;DIESEL S10;06/07/2017;3,099;IPIRANGA
SE;ES;GASOLINA;06/07/2017;3,49;RAIZEN
SE;ES;ETANOL;06/07/2017;3,29;RAIZEN
